"code
";PrUfungsstellename ;Bundesland;PLZ;Ort;Strasse
5920;BBQ Bildung und Berufliche Qualifizierung gGmbh;Baden-WUrrtemberg;72070;TUbingen;Europaplatz 
21118;VHS Winnenden;Baden-WUrrtemberg;71364;Winnenden;Markstr.
10563;Anglo-german Institute;Baden-WUrttemberg;70174;Stuttgart;Friedrichstra§e
6060;Arbeitskreis fUr Aus- und Weiterbildung e.V.;Baden-WUrttemberg;74072;Heilbronn;Allee
10826;Arbeitskreis fUr Aus- und Weiterbildung e.V.;Baden-WUrttemberg;76185;Karlsruhe;Griesbachstra§e
2660;Berlitz Deutschland GmbH;Baden-WUrttemberg;76133;Karlsruhe;Kaiserstra§e
4519;Berlitz Deutschland GmbH;Baden-WUrttemberg;89073;Ulm;MUnsterplatz
5279;Berlitz Deutschland GmbH;Baden-WUrttemberg;68161;Mannheim;P7
6180;Berlitz Deutschland GmbH;Baden-WUrttemberg;69115;Heidelberg;Sofienstra§e
10874;Berufliche Fortbildungszentren der Bayrischen Wirtschaft gGmbH (bfz);Baden-WUrttemberg;78315;Radolfzell;Robert-Gerwig-Str.
9540;Bildungspark Heilbronn-Franken gGmbH;Baden-WUrttemberg;74076;Heilbronn;Hans-Rie§er-Str.
5659;Carl Duisberg Centrum gGmbH;Baden-WUrttemberg;78315;Radolfzell;FUrstenbergstr.
3323;Christliches Jugenddorfwerk Deutschlands gemeinnUtziger e.V., CJD;Baden-WUrttemberg;76133;Karlsruhe;Kaiserstra§e
7979;CJD Biberach;Baden-WUrttemberg;88400;Biberach;Freiburger Str.
7979;CJD Biberach;Baden-WUrttemberg;88214;Ravensburg;Zwergerstr.
7979;CJD Biberach;Baden-WUrttemberg;88045;Friedrichshafen;Konstantin-SchmŠh-Str.
9551;DAA - Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;79111;Freiburg;Rieselfeldallee
9551;DAA - Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;77652;Offenburg;Poststr.
9551;DAA - Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;79761;Lšrrach;Emma-Stoll-Weg
10825;Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;70190;Stuttgart;Hackstra§e
10825;Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;72458;Albstadt;Marktstr.
10825;Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;71034;Bšblingen;Wolf-Hirth-Str.
10825;Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;71636;Ludwigsburg;Schwieberdinger Str.
10825;Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;75172;Pforzheim;Westliche Karl-Friedrich-Str.
10825;Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;76437;Rastatt;Bahnhofstr.
10825;Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;72764;Reutlingen;Federnseestr.
10825;Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;78628;Rottweil;Auf dem Wall
10825;Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;78224;Singen;Wehrdstr.
10825;Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;71332;Waiblingen;Ernst-Bihl-Str.
10831;Deutsche Angestellten Akademie GmbH;Baden-WUrttemberg;73431;Aalen;Ulmer Stra§e
